hhcode,weight,food_total,nonfood_total,selfemp_income,total_income,treatment,loan_amount
530541,1,542,5960,125,6627,1,10000
530611,1,425,4115,0,4540,1,38000
530711,1,520,32010,0,32530,1,24000
530811,1,490.5,4510,0,5000.5,1,0
530911,1,597,6960,0,7557,1,121600
531011,1,1017,20105,0,21122,1,11000
531012,1,709,39760,0,40469,1,35000
531013,1,672,6590,0,7262,1,34000
531014,1,723,6340,0,7063,1,50000
531111,1,346,4740,0,5086,1,0
531211,1,1048,104386,0,105434,1,0
610111,1,139,1850,0,1989,1,0
610141,1,212,1750,0,1962,1,0
610142,1,224,12200,0,12424,0,0
610151,1,241,1850,0,2091,0,0
610241,1,171,1050,0,1221,0,0
610242,1,249,2060,0,2309,0,0
610243,1,201,2220,0,2421,0,0
610251,1,470,2800,0,3270,0,0
610311,1,334,3170,0,3504,1,0
610341,1,577,8800,0,9377,0,0
610351,1,317,2610,0,2927,0,0
610441,1,380,7890,0,8270,0,0
610459,1,451,4550,0,5001,0,0
610511,1,985,12350,0,13335,1,0
610611,1,317,12805,0,13122,1,5000
610811,1,923,9300,0,10223,1,0
610911,1,530,11050,0,11580,1,0
611011,1,343,2760,0,3103,1,2500
611012,1,249,2330,0,2579,0,0
611111,1,600,17900,0,18500,1,0
611211,1,670,7620,0,8290,1,0
611212,1,237,1880,0,2117,0,0
611213,1,256,2500,0,2756,0,0
620111,1,472,2140,300,2912,1,4000
620141,1,362,3165,0,3527,0,0
620151,1,340,4450,0,4790,0,0
620152,1,287,1450,0,1737,0,0
620211,1,527,2850,100,3477,1,3000
620241,1,441,4860,0,5301,1,0
620251,1,802,210100,0,210902,1,118000
620252,1,435,7300,100,7835,1,42500
620253,1,351,3190,0,3541,1,3000
620254,1,309,2830,0,3139,0,0
620311,1,333,1600,100,2033,1,0
620341,1,318,1905,0,2223,0,0
620351,1,573,4600,0,5173,0,0
620411,1,521,3800,0,4321,1,37000
620441,1,530,5740,0,6270,1,3000
620459,1,1201,13100,0,14301,0,25000
620511,1,427,1950,0,2377,0,0
620512,1,302,2000,0,2302,0,0
620541,1,458,5100,80,5638,0,0
620611,1,615,5700,0,6315,1,30000
620711,1,454,8000,0,8454,1,28000
620811,1,791,7900,0,8691,1,26000
620911,1,494,7000,0,7494,1,14000
621011,1,362,5660,0,6022,1,37500
621111,1,435,8780,0,9215,1,58000
621211,1,704,8900,0,9604,1,0
630111,1,625,5690,580,6895,1,10000
630141,1,348,4610,0,4958,1,3000
630151,1,659,5950,0,6609,0,0
630211,1,328,3230,0,3558,1,0
630241,1,670,18800,0,19470,0,0
630242,1,864,7500,0,8364,0,0
630251,1,797,12050,0,12847,0,0
630252,1,477,7700,500,8677,0,0
630311,1,594,5365,200,6159,1,32000
630341,1,730,6510,0,7240,1,7500
630342,1,436,3000,0,3436,0,0
630351,1,360,4780,0,5140,0,200000
630352,1,744,6670,0,7414,0,0
630411,1,1164,6170,0,7334,1,34000
630441,1,489,3130,0,3619,0,0
630459,1,702,15900,0,16602,0,0
630511,1,564,3890,300,4754,1,0
630512,1,314,3080,0,3394,0,0
630513,1,426,2090,0,2516,0,0
630541,1,641,18180,0,18821,0,0
630611,1,105,570,30,705,1,0
630711,1,460,26750,0,27210,1,21000
630811,1,640,68850,0,69490,1,22000
630911,1,438,1850,0,2288,1,18000
631011,1,455,3100,0,3555,1,24000
631111,1,245,3300,0,3545,1,4000
631211,1,418,3135,0,3553,1,16000
710111,1,482,13983,0,14465,1,10000
710141,1,216,4142,35,4393,0,4000
710151,1,542,70905,250,71697,0,66000
710211,1,517,6130,0,6647,1,21000
710241,1,636,3885,0,4521,1,5000
710251,1,1063,22865,0,23928,0,0
710311,1,838,13150,180,14168,1,36000
710351,1,1041,33655,0,34696,0,0
710411,1,506,5380,0,5886,1,3000
710459,1,699,17305,0,18004,0,0
710541,1,596,13928,0,14524,0,0
710542,1,321,4117,0,4438,0,0
710611,1,383,4615,0,4998,1,14000
710711,1,429,4600,80,5109,1,35000
710811,1,402,24035,80,24517,1,35000
710911,1,968,17336,0,18304,1,7000
710912,1,302,3350,0,3652,0,0
711011,1,192,2350,0,2542,1,5000
711111,1,566,8550,0,9116,1,30000
711211,1,331,5545,70,5946,1,18000
711311,1,360,18566,0,18926,1,20000
711411,1,419,3200,0,3619,1,2000
711412,1,186,1738,4,1928,1,1500
720111,1,746,57200,0,57946,1,35000
720141,1,1510,103680,0,105190,0,0
720151,1,1012,12930,150,14092,0,0
720212,1,322,7515,0,7837,0,0
720241,1,351,3611,90,4052,1,2000
720251,1,1007,34720,0,35727,0,0
720311,1,586,15740,0,16326,1,4000
