"hhcode","casenum","date","weight_","day","month","year","thanaid","thanade","villid","villde","hhid","partcptn","hhtype","hhserial","relign","relhh","distance","lat_type","electric","samity","member","d_hat","d_bcentr","d_bank"
130811,7,"7/22/99",1,8,6,99,1,"DHAMRAI",3,"",8,1,1,7,1,1,5,2,2,2,1.79769313486232e+308,3,8,5
130911,8,"7/22/99",1,10,6,99,1,"DHAMRAI",3,"",9,1,1,8,1,1,5,2,2,1,1,3,8,5
131011,9,"7/22/99",1,11,6,99,1,"DHAMRAI",3,"",10,1,1,9,1,2,5,2,2,1,2,3,8,5
131111,10,"7/22/99",1,12,6,99,1,"DHAMRAI",3,"",11,1,1,10,1,1,5,2,2,1,2,3,8,5
131211,11,"7/22/99",1,14,6,99,1,"DHAMRAI",3,"",12,1,1,11,1,1,5,2,2,1,2,2,8,5
210131,25,"6/06/99",1,20,2,99,2,"GAIBANDHA SADAR",1,"",1,3,1,1,1,1,0.800000011920929,1,2,1,2,1.61000001430511,4.82999992370606,6.44000005722046
210141,38,"6/06/99",1,3,3,99,2,"GAIBANDHA SADAR",1,"",1,4,1,14,1,2,0.800000011920929,1,2,1,2,1.61000001430511,6.44000005722046,6.44000005722046
210151,43,"6/06/99",1,12,3,99,2,"GAIBANDHA SADAR",1,"",1,5,1,19,1,1,0.800000011920929,4,2,1,2,1.61000001430511,6.44000005722046,6.44000005722046
210231,26,"6/06/99",1,21,2,99,2,"GAIBANDHA SADAR",1,"",2,3,1,2,1,1,0.805000007152557,1,2,2,1.79769313486232e+308,1.61000001430511,4.82999992370606,6.44000005722046
210241,39,"6/06/99",1,3,3,99,2,"GAIBANDHA SADAR",1,"",2,4,1,15,1,3,0.800000011920929,1,2,1,2,1.61000001430511,1.61000001430511,1.61000001430511
210251,44,"6/06/99",1,9,3,99,2,"GAIBANDHA SADAR",1,"",2,5,1,20,1,1,0.0900000035762787,3,2,1,1,1.61000001430511,6.44000005722046,6.44000005722046
210331,27,"6/06/99",1,22,2,99,2,"GAIBANDHA SADAR",1,"",3,3,1,3,1,1,0.805000007152557,1,2,1,2,1.61000001430511,4.82999992370606,6.44000005722046
210332,28,"6/06/99",1,23,2,99,2,"GAIBANDHA SADAR",1,"",3,3,2,4,1,1,0.800000011920929,1,2,1,2,1.61000001430511,4.82999992370606,6.44000005722046
210341,40,"6/06/99",1,4,3,99,2,"GAIBANDHA SADAR",1,"",3,4,1,16,1,2,0.400000005960464,1,2,1,2,1.61000001430511,6.44000005722046,6.44000005722046
210351,45,"6/06/99",1,8,3,99,2,"GAIBANDHA SADAR",1,"",3,5,1,21,1,1,0.180000007152557,4,2,1,2,1.61000001430511,6.44000005722046,6.44000005722046
210411,29,"6/06/99",1,23,2,99,2,"GAIBANDHA SADAR",1,"",4,1,1,5,1,1,0.800000011920929,1,2,1,2,1.61000001430511,4.82999992370606,6.44000005722046
210441,41,"6/06/99",1,6,3,99,2,"GAIBANDHA SADAR",1,"",4,4,1,17,1,2,1,1,2,1,2,2,6.5,6.5
210459,46,"6/06/99",1,17,3,99,2,"GAIBANDHA SADAR",1,"",4,5,9,22,1,1,0.0900000035762787,1,2,2,1.79769313486232e+308,1.60000002384186,1.60000002384186,6.44000005722046
210511,30,"6/06/99",1,24,2,99,2,"GAIBANDHA SADAR",1,"",5,1,1,6,1,4,0.805000007152557,4,2,1,2,1.61000001430511,4.82999992370606,6.44000005722046
210541,42,"6/06/99",1,13,3,99,2,"GAIBANDHA SADAR",1,"",5,4,1,18,1,1,0.800000011920929,3,2,1,2,1.61000001430511,6.44000005722046,6.44000005722046
210611,31,"6/06/99",1,25,2,99,2,"GAIBANDHA SADAR",1,"",6,1,1,7,1,1,0.400000005960464,1,2,1,2,1.61000001430511,6.44000005722046,4.82999992370606
210731,32,"6/06/99",1,25,2,99,2,"GAIBANDHA SADAR",1,"",7,3,1,8,1,1,0.0689999982714653,2,2,1,2,1.61000001430511,1.61000001430511,1.61000001430511
210931,34,"6/06/99",1,27,2,99,2,"GAIBANDHA SADAR",1,"",9,3,1,10,1,1,0.129999995231628,1,2,1,2,1.61000001430511,6.44000005722046,1.61000001430511
211031,35,"6/06/99",1,28,2,99,2,"GAIBANDHA SADAR",1,"",10,3,1,11,1,1,0.400000005960464,2,2,2,1.79769313486232e+308,1.61000001430511,6.44000005722046,1.61000001430511
211131,36,"6/06/99",1,2,3,99,2,"GAIBANDHA SADAR",1,"",11,3,1,12,1,2,0.400000005960464,2,2,2,1.79769313486232e+308,1.61000001430511,6.44000005722046,6.44000005722046
211231,37,"6/06/99",1,2,3,99,2,"GAIBANDHA SADAR",1,"",12,3,1,13,1,1,0.400000005960464,2,2,1,2,1.61000001430511,6.44000005722046,6.44000005722046
220111,25,"7/30/99",1,5,5,99,2,"GAIBANDHA SADAR",2,"",1,1,1,1,1,2,0.400000005960464,1,2,2,1.79769313486232e+308,0.400000005960464,6.44000005722046,6.44000005722046
220141,38,"8/01/99",1,22,5,99,2,"GAIBANDHA SADAR",2,"",1,4,1,14,1,3,0.400000005960464,1,2,2,1.79769313486232e+308,0.400000005960464,5,5
220151,43,"8/01/99",1,31,5,99,2,"GAIBANDHA SADAR",2,"",1,5,1,19,1,1,0.200000002980232,2,2,2,1.79769313486232e+308,0.400000005960464,8.05000019073486,8.05000019073486
220211,26,"8/01/99",1,6,5,99,2,"GAIBANDHA SADAR",2,"",2,1,1,2,1,1,0.400000005960464,1,2,2,1.79769313486232e+308,0.400000005960464,6.44000005722046,6.44000005722046
220241,39,"8/01/99",1,23,5,99,2,"GAIBANDHA SADAR",2,"",2,4,1,15,1,1,0.400000005960464,1,2,2,1.79769313486232e+308,0.400000005960464,5,5
220251,44,"8/01/99",1,1,6,99,2,"GAIBANDHA SADAR",2,"",2,5,1,20,1,1,0.200000002980232,1,2,2,1.79769313486232e+308,0.200000002980232,8.05000019073486,8.05000019073486
220311,27,"8/01/99",1,8,5,99,2,"GAIBANDHA SADAR",2,"",3,1,1,3,1,1,0.400000005960464,1,2,2,1.79769313486232e+308,0.400000005960464,6.44000005722046,6.44000005722046
220341,40,"8/01/99",1,24,5,99,2,"GAIBANDHA SADAR",2,"",3,4,1,16,1,1,0.400000005960464,1,2,2,1.79769313486232e+308,0.400000005960464,5,5
