"casenum","date","weight_","hhcode","pid","s4_1q2","s4_1q3","s4_1q4","s4_1q5","s4_1q6","s4_1q7"
64,"7/21/99",1,120151,1,101,9,20,7,1.79769313486232e+308,1.79769313486232e+308
98,"7/21/99",1,120151,1,103,4,28,4,12,4
65,"7/21/99",1,120151,6,101,6,7,6,15,2
69,"7/21/99",1,120152,1,104,12,28,4,25,4
67,"7/21/99",1,120152,1,101,4,10,4,12,6
1.79769313486232e+308,".",1.79769313486232e+308,120152,1,103,2,30,14,2,3
68,"7/21/99",1,120152,4,101,2,4,3,1.79769313486232e+308,1.79769313486232e+308
30,"7/21/99",1,120211,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
80,"7/21/99",1,120212,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
55,"7/21/99",1,120241,1,101,10,28,8,25,8
56,"7/21/99",1,120241,2,101,6,10,5,20,5
94,"7/21/99",1,120241,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
58,"7/21/99",1,120242,1,104,5,20,2,30,2
57,"7/21/99",1,120242,1,101,7,20,6,30,10
95,"7/21/99",1,120242,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
70,"7/21/99",1,120251,1,101,6,10,4,18,4
71,"7/21/99",1,120251,2,101,6,10,4,12,5
72,"7/21/99",1,120251,4,101,6,10,4,10,6
73,"7/21/99",1,120251,5,101,6,10,4,20,4
74,"7/21/99",1,120351,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
32,"7/21/99",1,120411,1,101,8,15,2,20,2
34,"7/21/99",1,120411,2,104,5,15,4,12,3
33,"7/21/99",1,120411,3,101,8,15,5,25,8
81,"7/21/99",1,120411,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
59,"7/21/99",1,120441,1,101,8,5,8,1.79769313486232e+308,1.79769313486232e+308
60,"7/21/99",1,120441,3,101,4,5,2,7,1
96,"7/21/99",1,120441,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
75,"7/21/99",1,120459,2,101,10,22,10,15,6
1.79769313486232e+308,".",1.79769313486232e+308,120459,4,103,4,25,7,1.79769313486232e+308,1.79769313486232e+308
35,"7/21/99",1,120511,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
84,"7/21/99",1,120512,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
61,"7/21/99",1,120541,1,101,10,28,8,29,10
62,"7/21/99",1,120541,2,101,6,5,2,10,3
63,"7/21/99",1,120541,3,104,6,20,3,22,3
36,"7/21/99",1,120611,1,101,3,3,4,5,4
37,"7/21/99",1,120611,2,104,10,10,2,15,3
83,"7/21/99",1,120611,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
87,"7/21/99",1,120711,1,103,3,28,5,1.79769313486232e+308,1.79769313486232e+308
39,"7/21/99",1,120711,1,101,10,7,8,8,8
40,"7/21/99",1,120711,2,104,12,28,3,30,2
41,"7/21/99",1,120711,3,104,12,20,2,22,2
42,"7/21/99",1,120811,1,101,9,10,10,15,6
43,"7/21/99",1,120811,2,101,9,10,10,28,10
45,"7/21/99",1,120811,6,101,9,12,4,15,6
47,"7/21/99",1,120911,5,104,12,25,5,28,5
46,"7/21/99",1,120911,5,101,8,9,2,5,2
89,"7/21/99",1,120911,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
48,"7/21/99",1,121011,1,101,10,18,10,1.79769313486232e+308,1.79769313486232e+308
49,"7/21/99",1,121011,2,101,4,10,6,1.79769313486232e+308,1.79769313486232e+308
50,"7/21/99",1,121111,1,101,10,28,4,28,4
