"casenum","date","weight_","hhcode","pid","htrid","htrde","s12_2q2","s12_2q3","s12_2q4","s12_2q5","s12_2q6","s12_2q7"
42,"7/22/99",1,120911,1,1,"Purchased before 1992",20000,0,0,0,0,0
49,"7/22/99",1,120911,6,11,"Purchased since 1992",0,0,700,0,0,0
43,"7/22/99",1,120911,1,11,"Purchased since 1992",0,0,700,0,0,0
44,"7/22/99",1,120911,1,2,"Inherited",4000,0,0,0,0,0
48,"7/22/99",1,120911,6,1,"Purchased before 1992",20000,0,0,0,0,0
50,"7/22/99",1,120911,6,2,"Inherited",4000,0,0,0,0,0
51,"7/22/99",1,121011,1,11,"Purchased since 1992",3500,0,0,500,0,0
53,"7/22/99",1,121111,1,11,"Purchased since 1992",5000,0,0,0,0,0
52,"7/22/99",1,121111,1,1,"Purchased before 1992",8000,0,0,500,0,0
55,"7/22/99",1,121211,1,2,"Inherited",6000,0,0,0,0,0
54,"7/22/99",1,121211,1,11,"Purchased since 1992",0,0,0,2000,0,0
1,"8/03/99",1,130211,1,11,"Purchased since 1992",3000,0,0,0,0,0
2,"8/03/99",1,130211,1,2,"Inherited",3000,0,0,0,0,0
35,"8/03/99",1,130251,1,2,"Inherited",55000,0,0,0,0,0
34,"8/03/99",1,130251,1,11,"Purchased since 1992",42000,0,1200,0,0,0
3,"8/03/99",1,130311,1,2,"Inherited",15000,0,0,0,0,0
37,"8/03/99",1,130351,1,2,"Inherited",30000,0,0,0,0,0
36,"8/03/99",1,130351,1,11,"Purchased since 1992",12000,0,0,0,0,0
38,"8/03/99",1,130352,1,11,"Purchased since 1992",20000,0,0,0,0,0
39,"8/03/99",1,130352,1,2,"Inherited",10000,0,0,0,0,0
40,"8/03/99",1,130353,1,11,"Purchased since 1992",35000,0,0,0,0,0
41,"8/03/99",1,130353,1,2,"Inherited",6000,0,0,0,0,0
42,"8/03/99",1,130354,1,11,"Purchased since 1992",90000,0,1300,0,0,0
43,"8/03/99",1,130354,1,2,"Inherited",15000,0,0,0,0,0
44,"8/03/99",1,130355,1,11,"Purchased since 1992",10000,0,0,0,0,0
45,"8/03/99",1,130355,1,2,"Inherited",7000,0,0,0,0,0
4,"8/03/99",1,130411,1,11,"Purchased since 1992",30000,0,0,0,0,0
5,"8/03/99",1,130411,1,2,"Inherited",12000,0,0,0,0,0
27,"8/03/99",1,130441,1,11,"Purchased since 1992",15000,0,1000,0,0,0
26,"8/03/99",1,130441,1,1,"Purchased before 1992",15000,0,0,0,0,0
46,"8/03/99",1,130459,1,1,"Purchased before 1992",35000,0,0,0,0,0
47,"8/03/99",1,130459,1,11,"Purchased since 1992",30000,0,4000,0,0,0
31,"8/03/99",1,130542,1,2,"Inherited",3000,0,0,0,0,0
1.79769313486232e+308,"",1.79769313486232e+308,130611,5,11,"",300,0,0,0,0,0
7,"8/03/99",1,130611,4,2,"Inherited",3000,0,0,0,0,0
6,"8/03/99",1,130611,5,2,"Inherited",3000,0,0,0,0,0
9,"8/03/99",1,130711,1,11,"Purchased since 1992",5000,0,0,0,0,0
8,"8/03/99",1,130711,1,1,"Purchased since 1992",7000,0,0,0,0,0
11,"8/03/99",1,130811,1,1,"Purchased before 1992",15000,0,0,0,0,0
12,"8/03/99",1,130811,1,11,"Purchased since 1992",22000,0,0,0,0,0
14,"8/03/99",1,130911,1,11,"Purchased since 1992",22000,0,6000,0,0,0
13,"8/03/99",1,130911,1,1,"Purchased before 1992",8000,0,0,0,0,0
15,"8/03/99",1,131011,1,11,"Purchased since 1992",1500,0,1500,0,0,0
16,"8/03/99",1,131011,1,2,"Inherited",7000,0,0,0,0,0
19,"8/03/99",1,131111,1,2,"Inherited",9500,0,0,0,0,0
17,"8/03/99",1,131111,1,11,"Purchased since 1992",4500,0,1000,0,0,0
18,"8/03/99",1,131111,1,12,"Sale since 1992",4500,0,0,0,0,0
20,"8/03/99",1,131211,1,11,"Purchased since 1992",8000,0,0,0,0,0
34,"6/19/99",1,210131,1,11,"Purchased since 1992",150,0,0,0,0,0
33,"6/19/99",1,210131,1,1,"Purchased before 1992",150,0,0,0,0,0
55,"6/19/99",1,210141,1,11,"Purchased since 1992",350,0,0,0,0,0
62,"6/19/99",1,210151,1,2,"Inherited",10000,0,0,0,0,0
61,"6/19/99",1,210151,1,11,"Purchased since 1992",110000,0,6000,0,0,0
60,"6/19/99",1,210151,1,1,"Purchased before 1992",30000,0,0,0,0,0
36,"6/19/99",1,210231,1,2,"Inherited",500,0,0,0,0,0
35,"6/19/99",1,210231,1,11,"Purchased since 1992",5500,0,0,0,0,0
56,"6/19/99",1,210241,1,2,"Inherited",5000,0,0,0,0,0
