"casenum","date","weight_","thana","vill","b3_1_4","b3_2_4","b3_3_4","b3_4_4","b3_5_4","b3_6_4","b3_7_4","b3_8_4","b3_9_4","b3_10_4","b3_11_4","b3_12_4","b3_13_4","b3_14_4","b3_15_4","b3_16_4","b3_17_4","b3_18_4","b3_19_4","b3_20_4","b3_21_4","b3_22_4","b3_23_4","b3_24_4","b3_25_4","b3_26_4","b3_27_4","b3_28_4","b3_29_4","b3_30_4","b3_31_4","b3_32_4","b3_33_4","b3_34_4","b3_35_4","b3_36_4"
5,"11/30/99",1,8,3,11,16,32,11,13,16,22,40,40,40,25,25,32,48,56,56,14,3,3,16,32,70,40,9,8,32,60,10,80,110,70,16,14,9,2.5,10
6,"11/30/99",1,9,1,10,14,24,11,14,18,40,40,36,42,30,25,32,44,56,160,16,2.5,2.5,10,20,60,80,10,7,10,64,10,70,110,80,20,6,9,3,9
7,"11/30/99",1,9,2,13,14,16,10,20,30,36,36,36,40,25,22,30,45,60,80,20,2.5,2.5,10,24,40,40,5,6,20,100,10,60,120,75,20,13,9,2.5,10
8,"11/30/99",1,9,3,14,15,16,11,18,20,20,24,40,24,24,16,28,56,60,80,16,3,2,10,10,50,40,4,2,6,80,10,40,80,70,24,13,8,2.5,12
9,"11/30/99",1,10,1,11,13,14,12,15,12,22,24,38,40,18,24,30,50,64,65,16,3,2.5,12,25,50,70,10,8,25,80,9,65,100,80,22,14,9,2.5,10
10,"11/30/99",1,10,2,11,13,14,12,15,12,22,24,40,40,18,24,30,50,64,65,16,3,2.5,12,25,50,70,10,8,25,80,9,65,100,80,22,14,9,2.5,10
11,"11/30/99",1,10,3,11,13,14,12,15,12,22,24,38,40,18,24,30,50,34,65,16,3,2.5,12,25,50,70,10,8,25,80,9,65,100,80,22,14,9,2.5,10
12,"11/30/99",1,11,1,15,14.5,16,14,15,20,20,12,40,40,24,24,32,50,60,65,14,2.5,2.5,18,12,20,60,5,5,12,80,10,60,80,80,16,6.5,9,2,10
13,"11/30/99",1,11,2,12,13,16,12,14,20,40,28,36,40,24,24,32,40,60,49,14,3,2.5,16,20,60,60,12,6,12,70,12,60,80,80,15,13,8,2.5,10
14,"11/30/99",1,11,3,16,13.5,15,10,14,20,15,34,40,42,22,24,30,52,75,70,14,2.5,2.25,17,20,30,70,5,12,15,42,10,70,110,90,16,14,8,2.5,10
15,"11/30/99",1,12,1,15,18,20,12,14,15.5,16,15.5,38,40,24,20,32,50,60,60,15,3.5,3.5,16,12,44,45,5,4,6,75,11,70,110,80,13,6,9,2.25,10
16,"11/30/99",1,12,2,11,12,16,9,14,18,15,16,40,40,24,20,32,48,56,65,15,3,2.5,14,24,35,60,10,10,16,55,10,70,100,70,14,6,9,2.5,10
17,"11/30/99",1,12,3,11,13,15,9,14,20,15,16,40,40,24,20,34,44,60,65,15,3,2.5,12,20,35,60,10,20,16,60,11,70,100,70,14,6,9,2.5,10
18,"11/30/99",1,13,1,12,14,16,9,15,20,20,20,35,35,30,24,32,56,56,80,14,2.5,2,20,24,45,60,8,9,20,55,10,65,120,100,22,13,8,3,10
19,"11/30/99",1,13,2,11.5,12.5,14,10,14,15,28,32,36,40,28,24,32,48,52,128,13.5,3,2.5,20,28,60,60,10,12,20,65,10,70,120,100,25,13,9,3,9
20,"11/30/99",1,13,3,11.5,13,15,10,14,18,28,32,40,44,28,24,32,48,50,85,13.5,2.5,2,18,28,60,60,10,12,20,65,10,70,120,100,25,13,9,3,9
23,"11/28/95",1,14,1,15,16,17,12,16,20,1.79769313486232e+308,18,38,40,18,26,36,54,60,70,16,3,2.5,16,25,60,60,10,5,25,65,9,70,100,70,18,13,9,2.5,18
24,"11/28/95",1,14,2,15,16,17,12,16,20,1.79769313486232e+308,18,38,40,18,26,36,54,60,70,16,3,2.5,16,25,60,60,10,5,25,65,9,70,100,70,18,13,9,1.25,18
25,"11/28/95",1,14,3,15,16,17,12,16,20,1.79769313486232e+308,18,38,40,18,26,36,54,60,70,16,3,2.5,16,25,60,60,10,5,25,65,9,70,100,70,18,13,9,2.5,18
26,"11/28/95",1,15,1,13.5,13.5,14,12,16,20,16,24,38,40,16,24,28,52,60,70,20,3,3,11,20,30,60,8,8,25,70,11,60,110,80,20,13,10,2.5,10
27,"11/28/95",1,15,2,14,15,17,13,16,20,1.79769313486232e+308,20,40,45,35,25,30,60,60,70,20,3,3,13,20,40,70,6,8,10,80,10,60,100,80,20,6.5,9,2.5,10
28,"11/28/95",1,15,3,10,10,10.5,10,13,15,32,28,32,27,18,20,22.5,40,52,70,18,3,3,12,15,30,50,9,9,20,80,10,60,100,80,15,14,9,2.5,5
23,"11/28/99",1,16,1,11,14,18,10,14,20,20,28,40,44,28,24,28,40,48,64,16,3,3,12,20,48,64,7,8,8,64,10,60,120,65,16,7,8,2,9
24,"11/28/99",1,16,2,11,14,18,10,14,20,20,28,40,44,32,24,28,40,48,64,16,3,2.5,12,20,48,64,7,8,8,64,10,60,120,65,16,7,8,2,9
25,"11/28/99",1,16,3,12,15,17,10.5,13.5,20,22,28,38,40,26,21,28,50,70,120,16,3,2.5,12,18,30,70,5,6,10,48,10,70,120,80,15,6,8,2.5,9
26,"11/28/99",1,17,1,13,14,18,12,16,18,26,20,36,40,28,28,34,52,56,65,14,2,2.5,25,20,40,70,11,10,30,70,11,90,120,150,30,7,9,2.25,10
21,"11/30/99",1,17,2,13,15,20,10,15,20,25,25,40,35,28,30,30,52,60,80,14,2.5,3,30,10,40,60,7,5,25,100,10,80,110,90,25,7,9,2.5,10
22,"11/30/99",1,17,3,13,14,20,10,16,22,26,25,40,30,28,30,36,52,60,80,14,2,2.5,20,22,40,60,10,12,25,70,10,70,120,90,30,7,9,2.5,10
23,"11/30/99",1,17,4,12.5,13.5,16,11,16,16,24,32,38,40,28,28,32,54,60,70,14,3,3.5,25,24,40,70,12,10,40,60,10,90,120,80,24,7,9,2.5,10
24,"11/30/99",1,18,1,14,18,28,11,14,28,40,20,40,44,28,22,28,54,60,62,16,2.5,2,10,10,70,80,3,2,6,80,10,40,70,80,16,6.5,9,2.5,1.79769313486232e+308
25,"11/30/99",1,18,2,13,15,18,10,15,20,36,40,40,48,32,22,30,44,56,80,16,2.5,2,10,14,30,80,5,2,16,80,10,60,100,100,16,7,9,2.5,1.79769313486232e+308
21,"11/28/99",1,18,3,9,13,16,10,14,20,28,20,36,40,25,28,28,44,64,80,14,2.5,2,10,20,50,50,10,5,16,80,10,70,100,75,20,7,9,2.5,9
22,"11/28/99",1,18,4,10,13,17,11,14,20,28,32,40,40,25,28,28,44,40,80,14,3,2.25,10,24,50,60,10,5,16,80,10,70,100,75,20,7,9,2.5,9
23,"11/28/99",1,19,1,13,15,16,12,14,16,28,32,36,40,20,28,32,44,60,80,15,3,3,16,28,45,60,12,8,30,80,10,70,120,90,16,13,9,2.75,10
24,"11/28/99",1,19,2,13,15,16,12,14,16,28,32,36,40,20,28,32,44,60,80,15,3,3,16,28,45,60,12,8,30,80,10,70,120,90,16,13,9,2.75,10
25,"11/28/99",1,19,3,13,15,16,12,14,16,28,32,36,40,20,28,32,44,60,80,15,3,3,16,28,45,60,12,8,30,80,10,70,120,90,16,13,9,2.75,10
1,"11/20/99",1,19,4,15,14,14.5,12,14,14,24,18,38,40,24,28,30,48,56,100,15,3,2.5,14,30,70,75,14,12,16,80,10,60,100,90,20,14,8,2.5,10
2,"11/20/99",1,20,1,11,11,12,11,13,20,25,28,40,45,20,25,28,42,52,80,16,3,2.5,12,24,40,60,10,20,48,80,5,60,80,100,16,13,9,3,10
3,"11/20/99",1,20,2,10,14,22,10,12,20,35,40,40,40,20,20,32,48,64,80,15,3.25,3,14,28,80,80,9,7,24,60,10,60,90,60,16,14,9,3,10
4,"11/28/99",1,20,3,14,25,16,12,16,20,32,24,40,40,1.79769313486232e+308,20,28,56,64,128,20,3.25,3,12,24,40,50,5,5,32,80,12,60,100,80,24,13,9,2.5,1.79769313486232e+308
5,"11/28/99",1,21,1,15,18,30,10,16,15,22,30,34,44,28,22,28,48,56,80,16,2.5,3,12,16,24,60,6,10,16,38,10,60,120,75,16,7,9,2,10
6,"11/28/99",1,21,2,12,15,28,8,14,20,32,32,40,44,20,24,30,44,64,80,16,2.25,3,18,26,60,90,10,14,24,70,11,65,110,90,12,6.5,9,2.25,9
7,"11/28/99",1,21,3,12,13,17,11,14,20,32,32,35,40,24,20,28,38,56,70,14,3,3,14,24,40,80,10,10,24,60,10,60,100,130,12,6,9,2,9
8,"11/28/99",1,22,1,15,17,19,10,15,16,25,28,40,35,30,26,30,56,52,128,16,4,4,28,20,32,64,6,5,16,50,10,70,100,80,32,13,9,2,10
9,"11/28/99",1,22,2,13,17,19,10,15,16,25,27,40,35,30,26,30,56,52,128,16,4,4,28,20,32,64,6,5,16,50,10,70,100,80,32,13,9,2,10
10,"11/28/99",1,22,3,14,17,19,10,15,16,25,28,40,35,30,26,30,56,52,128,16,4,4,28,20,32,64,6,5,16,50,10,70,100,80,32,13,9,2,10
11,"11/28/99",1,23,1,12.5,13,18,10,14,18,13,25,40,42,26,26,32,40,56,140,13,3.5,3.5,20,24,44,64,12,12,16,60,10,70,120,70,26,14,9,3,10
12,"11/28/99",1,23,2,12,13,15,12,13,18,20,16,36,30,30,26,30,36,52,125,16,3.5,3.5,20,24,46,60,12,15,28,80,1,70,120,74,16,13,9,2.5,10
13,"11/28/99",1,23,3,11,12,14,11,13,18,20,16,36,30,30,26,32,36,48,128,16,3,3,20,24,48,60,12,14,25,80,10,70,120,75,26,13,9,2.5,10
14,"11/28/99",1,24,1,13,15,19,11,14,20,20,28,36,29,24,20,32,56,60,115,14,2.5,3,20,18,35,60,6,7,10,50,10,60,120,100,24,13,9,3,10
15,"11/28/99",1,24,2,13,16,19,11,14,20,20,28,36,29,24,20,32,56,60,120,14,2.5,3,20,17,35,60,6,7,10,50,10,60,120,100,24,13,9,3,10
16,"11/28/99",1,24,3,12,16,19,11,14,20,20,28,35,27,23,20,31,54,60,125,14,3,3,20,17,40,60,6,7,10,50,10,60,120,100,24,13,9,3,10
17,"11/28/99",1,25,1,12,13,14,10,14,20,30,32,36,28,28,25,22,42,56,120,16,2.5,2.5,16,20,38,56,10,14,40,75,10,80,100,120,24,13,9,3,10
18,"11/28/99",1,25,2,11,12,14,10,13,16,30,32,36,28,28,22,32,48,56,120,15,2.5,3,18,24,40,60,10,10,40,80,10,80,120,100,24,13,9,3,10
19,"11/28/99",1,25,3,16,17,18,12,16,16,18,26,35,40,26,24,30,50,50,56,16,2.5,2.5,16,14,24,60,5,5,12,60,11,80,120,100,20,13,9,2,10
20,"11/28/99",1,25,4,11,12,13,8,13,16,30,32,36,28,28,22,32,48,56,120,15,2.5,3,18,24,40,60,10,10,40,80,10,80,120,100,24,14,9,3,20
1,"11/20/99",1,26,1,11,13,15,11,17,20,34,30,38,38,18,18,24,50,58,80,14,2.5,2.5,12,24,60,80,8,10,32,100,10,50,100,70,28,14,8,2.5,9
2,"11/20/99",1,26,2,12,14,18,12,14,20,32,40,40,45,24,18,26,44,60,120,20,3,3,16,10,18,70,5,4,9,120,10,50,110,90,20,14,9,2.5,10
3,"11/20/99",1,26,3,12,15,32,12,14,20,36,40,40,40,25,16,23,50,50,120,16,3,3,12,10,25,80,5,7,12,100,5,40,85,60,20,14,9,2.5,10
4,"11/28/95",1,27,1,15.5,17,24,13,16,20,32,40,40,44,26,24,32,56,70,120,14,3,3,18,8,30,60,5,8,10,90,10,70,120,90,20,7,9,2.5,9
5,"11/28/95",1,27,2,16,18,24,12,16,20,32,40,40,44,26,24,32,50,70,120,14,3,3,16,16,45,60,6,8,20,90,10,70,120,90,20,7,9,2.5,9
6,"11/28/95",1,27,3,13,16,28,12,16,20,26,36,40,40,24,25,32,44,60,120,16,3,3,14,28,60,55,9,12,30,100,10,70,120,90,20,6.5,9,2.5,9
7,"11/28/95",1,28,1,14,15,16,13,17,20,32,26,40,40,20,18,30,60,60,70,14,2.5,2.5,12,16,30,50,5,8,12,50,10,70,120,80,20,6.5,9,2.5,10
8,"11/28/95",1,28,2,10,12,14,10,16,20,35,30,40,40,16,20,32,44,56,70,13.5,2.5,2.5,10,24,60,70,8,10,40,120,10,60,140,100,30,7,8,2.5,9
9,"11/28/95",1,28,3,12,13,15,11,14,16,32,28,35,40,22,25,30,55,60,70,15,2.5,2.5,14,32,30,60,8,7,40,120,10,60,120,80,20,7,9,2.5,10
10,"11/28/95",1,28,4,14,15,17,13,20,20,32,30,40,40,20,30,30,44,60,70,13.5,2.5,2.5,10,20,60,70,8,7,30,120,10,60,120,80,30,7,8,2.5,10
11,"11/28/95",1,29,1,11,13,17,10,13.5,20,20,28,34,43,25,18,26,42,56,80,16,2,2,10,18,60,90,5,6,18,75,10,55,100,60,16,13,9,2.5,9
12,"11/28/95",1,29,2,12,14,17,11,14,16,18,32,24,40,22,17,28,48,64,96,13.5,2.5,2,12,12,58,90,4,4,18,75,10,50,100,65,16,13,9,2.5,10
13,"11/28/95",1,29,3,10,13,17,9.5,13.5,21,20,28,34,45,26,20,26,42,56,80,16,2.5,2.5,10,20,68,90,8,10,16,80,10,55,110,65,16,13,8,2.5,10
14,"11/28/95",1,30,1,14,15,18,12,15,16,20,25,40,38,38,26,32,44,54,70,16,3.5,4,25,22.5,42,60,10,10,32,70,12,80,120,75,28,13,9,3.5,8
15,"11/28/95",1,30,2,13.5,14,18,12,15,20,20,18,40,42,1.79769313486232e+308,24,31,50,60,88,16,3.5,3.5,25,24,50,72,10,10,15,65,12,80,100,90,24,13,8,3,5
16,"11/28/95",1,30,3,13,14,17,12,16,18,18,20,40,36,25,30,32,48,55,80,16,3.5,3.5,25,28,36,60,12,13,15,75,10,75,100,80,28,13,9,3,9
17,"11/28/95",1,31,1,15,17,20,13,15,16,20,26,36,38,30,24,32,40,60,70,14,3.5,3,16,24,44,40,10,8,20,60,10,70,100,80,16,13,9,2,10
18,"11/28/95",1,31,2,12,14,17,12,15,20,24,18,40,42,24,28,32,46,56,70,15,3,3.75,26,24,40,60,10.5,10,15,70,11,80,120,65,24,13,9,2,10
19,"11/28/95",1,31,3,14,15,18,12,13,40,1.79769313486232e+308,64,40,40,32,28,34,48,64,60,15,4,4,16,24,40,80,12,14,24,80,10,75,120,80,20,13,9,2.5,9
20,"11/28/95",1,32,1,13.5,14,16,12,13,40,1.79769313486232e+308,60,35,36,24,24,32,42,60,60,13,3.75,3.75,14,10,22,36,8,6,16,45,8,70,120,80,18,6.5,9,2,10
21,"11/28/95",1,32,2,13.5,14,15,12,13,40,1.79769313486232e+308,64,40,40,32,28,32,48,64,60,15,4,4,12,24,40,80,10,12,24,80,8,75,120,80,20,6.5,9,2.5,9
22,"11/28/95",1,32,3,13,14,15,12,13,40,1.79769313486232e+308,64,40,40,32,28,32,48,64,60,15,4,4,12,24,40,80,12,12,24,80,8,75,120,80,20,6.5,9,2.5,9
26,"11/30/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
