"casenum","date","weight_","hhcode","actvtysl","pid","actvty","actvtyde","s6_1q4","s6_1q5","s6_1q6","s6_1q7","s6_1q8","s6_1q9","s6_1q10","s6_1q11","s6_1q12","s6_1q13","s6_1q14","s6_1q15"
108,"6/11/99",1,920921,1,1,510,"",1,1.79769313486232e+308,12,30,2,1.79769313486232e+308,1,0,1,1.79769313486232e+308,1500,1
109,"6/11/99",1,921021,1,1,507,"",1,1.79769313486232e+308,12,25,2,1.79769313486232e+308,97,0,1,1.79769313486232e+308,5000,1
110,"6/11/99",1,921121,1,1,624,"",30,1.79769313486232e+308,12,30,2,1.79769313486232e+308,97,0,1,1.79769313486232e+308,15000,6
111,"6/11/99",1,921221,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
55,"5/14/99",1,930121,1,1,502,"",15,1.79769313486232e+308,9,30,2,1.79769313486232e+308,97,0,1,1.79769313486232e+308,1000,1
69,"5/14/99",1,930141,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
75,"5/14/99",1,930151,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
56,"5/14/99",1,930221,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
70,"5/14/99",1,930241,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
76,"5/14/99",1,930251,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
