"casenum","date","weight_","hhcode","s9_1q1","s9_1q2","pid","program","s9_1q5","s9_1q6","s9_1q7","s9_1q8","s9_1q9","s9_1q10","s9_1q11","s9_1q12","s9_1q13","s9_1q14","s9_1q15","s9_1q16","s9_1q17","s9_1q18","s9_1q19","s9_1q20","s9_1q21","s9_1q22"
74,"6/06/99",1,110612,1,1,2,8,2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,35,0,3,0,0,1.79769313486232e+308,1.79769313486232e+308,12,5,40
77,"6/06/99",1,110612,1,1,5,4,2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5,1.79769313486232e+308,20,2,1.79769313486232e+308,0,0,1.79769313486232e+308,1.79769313486232e+308,12,5,35
79,"6/06/99",1,110711,1,1,6,4,6,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1,5,3,10,0,2,1.79769313486232e+308,1.79769313486232e+308,12,5,40
78,"6/06/99",1,110711,1,1,6,8,6,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1,5,0,2,0,0,1.79769313486232e+308,1.79769313486232e+308,12,5,35
81,"6/06/99",1,110811,1,1,2,1,2,2,1.79769313486232e+308,1.79769313486232e+308,1,7,1,2,10,4,1.79769313486232e+308,1,1,1.79769313486232e+308,1.79769313486232e+308,52,1.79769313486232e+308,1.79769313486232e+308
82,"6/06/99",1,110811,1,1,2,8,2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5,2,5,0,3,0,0,1.79769313486232e+308,1.79769313486232e+308,12,5,35
84,"6/06/99",1,110911,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,28,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
86,"6/06/99",1,111011,1,1,2,1,2,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,5,12,6,1,1,2,3,52,5,35
87,"6/06/99",1,111111,1,1,4,4,4,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1,20,0,10,0,0,1.79769313486232e+308,1.79769313486232e+308,12,1.79769313486232e+308,1.79769313486232e+308
88,"6/06/99",1,111111,1,1,5,4,4,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5,1.79769313486232e+308,20,0,9,0,0,1.79769313486232e+308,1.79769313486232e+308,12,1.79769313486232e+308,1.79769313486232e+308
91,"6/06/99",1,111211,1,1,1,1,1,2,1.79769313486232e+308,1.79769313486232e+308,1,7,2,1.79769313486232e+308,20,7,5,1,0,1.79769313486232e+308,1.79769313486232e+308,12,1.79769313486232e+308,1.79769313486232e+308
89,"6/06/99",1,111211,1,1,2,1,1,2,1.79769313486232e+308,1.79769313486232e+308,1,7,2,1.79769313486232e+308,25,8,6,1,0,1.79769313486232e+308,1.79769313486232e+308,12,1.79769313486232e+308,1.79769313486232e+308
90,"6/06/99",1,111211,1,1,2,3,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,1,15,7,1.79769313486232e+308,1,1,2,3,2,4,34
