"casenum","date","weight_","hhcode","cropid","cropde","s5_1q14","s5_1q15","s5_1q16","s5_1q17","s5_1q18","s5_1q19","s5_1q20","s5_1q21","s5_1q22","s5_1q23","s5_1q24"
79,"6/04/99",1,110612,1,"Lacal Aus",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,25,0,3,1.5,450,0,1.79769313486232e+308
80,"6/04/99",1,110612,8,"Wheat",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,25,0,4,2,700,20,1.79769313486232e+308
81,"6/04/99",1,110612,10,"Potato",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,6,0,14,7,1400,30,1.79769313486232e+308
82,"6/04/99",1,110711,1,"Lacal Aus",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,16,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,0,1.79769313486232e+308
83,"6/04/99",1,110711,3,"Local Aman",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,16,0,0.600000023841858,0.300000011920929,112.5,0,1.79769313486232e+308
84,"6/04/99",1,110711,8,"Wheat",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,16,0,2,1,400,50,1.79769313486232e+308
85,"6/04/99",1,110811,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
86,"6/04/99",1,110911,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
87,"6/04/99",1,111011,3,"Local Aman",20,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
88,"6/04/99",1,111011,6,"HYV Boro",15,15,7,2100,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
