"casenum","date","weight_","hhcode","pid","respid","s13_1q3","s13_1q4","s13_1q5","s13_1q6","s13_1q7","s13_1q8","s13_1q9","s13_1q10","s13_1q11"
156,"8/12/99",1,611111,8,8,1,18,0,0,4,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
157,"8/12/99",1,611211,2,2,1,15,0,0,1,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
158,"8/12/99",1,611211,7,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
159,"8/12/99",1,611211,8,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
160,"8/12/99",1,611212,2,2,1,20,0,0,6,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
161,"8/12/99",1,611213,2,2,1,18,2000,0,5,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
290,"6/23/99",1,620111,2,2,1,15,0,0,60,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
301,"6/23/99",1,620141,2,2,1,18,1600,0,3,8,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
306,"6/23/99",1,620151,7,7,1,19,0,0,50,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
92,"9/12/99",1,620152,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
291,"6/23/99",1,620211,2,2,1,12,0,0,2,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
302,"6/23/99",1,620241,7,2,1,20,0,0,40,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
95,"9/12/99",1,620251,9,9,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
96,"9/12/99",1,620252,2,2,1,15,0,0,10,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
98,"9/12/99",1,620253,2,2,1,15,0,0,20,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
99,"9/12/99",1,620254,2,2,1,12,0,0,1,4,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
292,"6/23/99",1,620311,2,2,1,13,0,0,1,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
303,"6/23/99",1,620341,2,2,1,15,0,0,5,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
100,"9/12/99",1,620351,4,2,1,13,0,0,0.5,6,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
