"casenum","date","weight_","thana","vill","day","month","year","b1_1_2","b1_1_3","b1_1_4","b1_1_5","b1_2_2","b1_2_3","b1_2_4","b1_2_5","b1_3_2","b1_3_3","b1_3_4","b1_3_5","b2_1_3","b2_1_4","b2_2_2","b2_2_4","b2_3_3","b2_3_4","b2_4_3","b2_4_4","b2_5_3","b2_5_4","b2_6_3","b2_6_4","b2_7_3","b2_7_4"
13,"11/28/95",1,29,3,27,6,99,40,30,45,35,55,40,70,50,40,30,1.79769313486232e+308,1.79769313486232e+308,2,2,2,2,2,2,2,1,2,2,2,2,2,2
14,"11/28/95",1,30,1,25,4,99,60,50,70,50,120,80,130,100,40,30,40,30,1,1,2,2,2,2,1,1,2,2,2,2,2,2
15,"11/28/95",1,30,2,27,6,99,70,50,60,50,120,100,150,120,50,30,45,35,2,2,2,2,1,1,2,1,2,2,2,1,2,2
16,"11/28/95",1,30,3,20,7,99,50,40,60,40,110,90,150,110,50,40,50,40,2,2,2,2,2,2,1,1,2,2,1,1,2,2
17,"11/28/95",1,31,1,10,5,99,40,30,60,35,100,80,140,70,1.79769313486232e+308,1.79769313486232e+308,25,20,2,1,2,2,1,2,1,1,2,2,2,2,2,2
18,"11/28/95",1,31,2,15,6,99,40,25,30,25,90,60,120,60,1.79769313486232e+308,1.79769313486232e+308,25,20,1,1,2,2,2,2,2,1,2,2,2,2,2,2
19,"11/28/95",1,31,3,10,8,99,40,20,40,20,100,40,140,40,70,30,80,30,2,1,2,2,2,2,2,2,2,2,1,1,1,1
20,"11/28/95",1,32,1,19,3,99,50,20,50,20,100,40,120,40,50,25,50,25,1,2,2,2,2,2,1,1,2,2,2,2,2,2
21,"11/28/95",1,32,2,23,6,99,40,20,40,20,100,70,120,50,60,40,50,30,2,2,2,2,2,1,1,1,2,2,2,2,2,2
22,"11/28/95",1,32,3,25,7,99,40,20,40,20,100,40,120,40,70,30,80,30,2,2,2,2,2,2,1,1,1,1,1,1,1,1
