"casenum","date","weight_","hhcode","crisisid","crisisde","loss","hcf1","hcf2","exp"
54,"8/06/99",1,2420531,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
74,"8/06/99",1,2420541,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
55,"8/06/99",1,2420631,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
56,"8/06/99",1,2420731,2,"Crop damage",14000,1,1.79769313486232e+308,1.79769313486232e+308
57,"8/06/99",1,2420831,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
58,"8/06/99",1,2420931,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
59,"8/06/99",1,2421031,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
60,"8/06/99",1,2421131,2,"Crop damage",27000,1,1.79769313486232e+308,1.79769313486232e+308
61,"8/06/99",1,2421132,2,"Crop damage",25000,1,1.79769313486232e+308,1.79769313486232e+308
62,"8/06/99",1,2421231,8,"Huge expenditure due to illness",5000,4,1.79769313486232e+308,5000
63,"8/06/99",1,2421232,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
64,"8/06/99",1,2421339,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
65,"8/06/99",1,2421439,2,"Death of primary income eraner",12000,1,1.79769313486232e+308,1.79769313486232e+308
66,"8/06/99",1,2421439,8,"Huge expenditure due to illness",4000,19,1.79769313486232e+308,4000
67,"8/06/99",1,2421539,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
68,"8/06/99",1,2421639,5,"Death of cow/buffalo",7000,1,1.79769313486232e+308,1.79769313486232e+308
69,"8/06/99",1,2421739,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
70,"8/06/99",1,2421839,2,"Crop damage",25000,1,1.79769313486232e+308,1.79769313486232e+308
113,"8/18/99",1,2430131,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
132,"8/18/99",1,2430141,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
133,"8/18/99",1,2430142,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
134,"8/18/99",1,2430143,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
139,"8/18/99",1,2430151,8,"Huge expenditure due to illness",100000,1,1,100000
114,"8/18/99",1,2430231,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
135,"8/18/99",1,2430241,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
136,"8/18/99",1,2430242,3,"Burglery/Theft",9000,1,1,1.79769313486232e+308
140,"8/18/99",1,2430251,2,"Crop damage",27000,1,1,1.79769313486232e+308
115,"8/18/99",1,2430331,8,"Huge expenditure due to illness",20000,4,12,20000
141,"8/18/99",1,2430351,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
116,"8/18/99",1,2430431,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
137,"8/18/99",1,2430441,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
142,"8/18/99",1,2430459,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
117,"8/18/99",1,2430531,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
138,"8/18/99",1,2430541,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
118,"8/18/99",1,2430631,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
119,"8/18/99",1,2430731,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
120,"8/18/99",1,2430831,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
121,"8/18/99",1,2430931,27,"Burning of house by fire",20000,1,1,1.79769313486232e+308
122,"8/18/99",1,2430932,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
123,"8/18/99",1,2431031,9,"Loss of money",21000,1,1,1.79769313486232e+308
124,"8/18/99",1,2431031,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
125,"8/18/99",1,2431131,9,"Loss of money",16000,1,1,1.79769313486232e+308
126,"8/18/99",1,2431231,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
127,"8/18/99",1,2431339,8,"Huge expenditure due to illness",7000,19,1.79769313486232e+308,7000
128,"8/18/99",1,2431439,8,"Huge expenditure due to illness",7000,12,19,7000
129,"8/18/99",1,2431539,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
130,"8/18/99",1,2431639,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
