"casenum","date","weight_","hhcode","crisisid","crisisde","loss","hcf1","hcf2","exp"
119,"6/09/99",1,1020821,8,"Huge expenditure due to illness",2000,24,1.79769313486232e+308,2000
120,"6/09/99",1,1020921,24,"Expenditure for daughter's marriage",8000,23,24,8000
121,"6/09/99",1,1021021,21,"Torture for dowry",1.79769313486232e+308,23,1.79769313486232e+308,3000
122,"6/09/99",1,1021121,30,"Others",17000,1,1.79769313486232e+308,1.79769313486232e+308
123,"6/09/99",1,1021221,12,"Land related litigation",5000,24,2,5000
88,"8/12/99",1,1030121,3,"Burglery/Theft",5000,1,1.79769313486232e+308,1.79769313486232e+308
102,"8/12/99",1,1030141,8,"Huge expenditure due to illness",3000,4,1.79769313486232e+308,3000
108,"8/12/99",1,1030151,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
89,"8/12/99",1,1030221,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
90,"8/12/99",1,1030222,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
103,"8/12/99",1,1030241,1,"Death of primary income eraner",1.79769313486232e+308,22,1.79769313486232e+308,1500
109,"8/12/99",1,1030251,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
91,"8/12/99",1,1030321,8,"Huge expenditure due to illness",3000,23,1.79769313486232e+308,3000
104,"8/12/99",1,1030341,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
105,"8/12/99",1,1030342,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
110,"8/12/99",1,1030351,21,"Torture for dowry",1.79769313486232e+308,24,22,5000
111,"8/12/99",1,1030352,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
92,"8/12/99",1,1030421,2,"Crop damage",15000,1,1.79769313486232e+308,1.79769313486232e+308
106,"8/12/99",1,1030441,21,"Torture for dowry",1.79769313486232e+308,23,1.79769313486232e+308,5000
112,"8/12/99",1,1030459,5,"Death of cow/buffalo",5000,5,1.79769313486232e+308,3000
93,"8/12/99",1,1030521,2,"Crop damage",20000,1,1.79769313486232e+308,1.79769313486232e+308
107,"8/12/99",1,1030541,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
94,"8/12/99",1,1030621,4,"Theft of cow/buffalo",3000,1,1.79769313486232e+308,1.79769313486232e+308
95,"8/12/99",1,1030721,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
96,"8/12/99",1,1030821,8,"Huge expenditure due to illness",3000,22,1.79769313486232e+308,3000
97,"8/12/99",1,1030921,8,"Huge expenditure due to illness",500,6,1.79769313486232e+308,500
98,"8/12/99",1,1031021,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
99,"8/12/99",1,1031121,2,"Crop damage",12000,5,1.79769313486232e+308,5000
100,"8/12/99",1,1031221,21,"Torture for dowry",1.79769313486232e+308,23,1.79769313486232e+308,5000
101,"8/12/99",1,1031221,24,"Expenditure for daughter's marriage",3000,23,1.79769313486232e+308,3000
1,"5/19/99",1,1110121,8,"Huge expenditure due to illness",5000,15,1.79769313486232e+308,5000
30,"5/25/99",1,1110141,7,"Damage to house/land due to cyclone",2000,23,1.79769313486232e+308,2000
31,"5/25/99",1,1110141,8,"Huge expenditure due to illness",3000,23,1.79769313486232e+308,3000
32,"5/25/99",1,1110141,12,"Land related litigation",4000,23,1.79769313486232e+308,4000
39,"5/25/99",1,1110151,4,"Theft of cow/buffalo",8000,1,1.79769313486232e+308,1.79769313486232e+308
40,"5/25/99",1,1110152,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
2,"5/25/99",1,1110221,2,"Crop damage",10000,1,1.79769313486232e+308,1.79769313486232e+308
33,"5/25/99",1,1110241,8,"Huge expenditure due to illness",1200,7,1.79769313486232e+308,500
34,"5/25/99",1,1110241,12,"Land related litigation",600,2,1.79769313486232e+308,600
41,"5/25/99",1,1110251,8,"Huge expenditure due to illness",8000,5,1.79769313486232e+308,8000
42,"5/25/99",1,1110251,12,"Land related litigation",6000,2,1.79769313486232e+308,6000
3,"5/25/99",1,1110321,7,"Damage to house/land due to cyclone",5000,23,2,5000
4,"5/25/99",1,1110321,8,"Huge expenditure due to illness",4000,2,7,4000
5,"5/25/99",1,1110321,15,"Undue harrassment by police",500,2,1.79769313486232e+308,500
6,"5/25/99",1,1110321,24,"Expenditure for daughter's marriage",4750,15,23,4750
35,"5/25/99",1,1110341,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
43,"5/25/99",1,1110351,4,"Theft of cow/buffalo",5000,1,1.79769313486232e+308,1.79769313486232e+308
7,"5/25/99",1,1110421,2,"Crop damage",10000,2,1.79769313486232e+308,10000
8,"5/25/99",1,1110421,3,"Burglery/Theft",8000,2,1.79769313486232e+308,8000
9,"5/25/99",1,1110421,5,"Death of cow/buffalo",6000,2,1.79769313486232e+308,6000
10,"5/25/99",1,1110421,12,"Land related litigation",4000,2,1.79769313486232e+308,4000
36,"5/25/99",1,1110441,8,"Huge expenditure due to illness",20000,2,1.79769313486232e+308,20000
37,"5/25/99",1,1110441,12,"Land related litigation",1000,2,1.79769313486232e+308,1000
44,"5/25/99",1,1110459,9,"Loss of money",10000,2,1.79769313486232e+308,10000
11,"5/25/99",1,1110521,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
38,"5/25/99",1,1110541,8,"Huge expenditure due to illness",4000,2,1.79769313486232e+308,4000
12,"5/25/99",1,1110621,2,"Crop damage",10000,2,1.79769313486232e+308,5000
13,"5/25/99",1,1110621,5,"Death of cow/buffalo",9000,1,1.79769313486232e+308,1.79769313486232e+308
14,"5/25/99",1,1110721,2,"Crop damage",4000,2,1.79769313486232e+308,4000
15,"5/25/99",1,1110821,2,"Crop damage",8000,2,1.79769313486232e+308,8000
16,"5/25/99",1,1110821,5,"Death of cow/buffalo",5000,23,1.79769313486232e+308,5000
17,"5/25/99",1,1110821,24,"Expenditure for daughter's marriage",15000,23,2,15000
18,"5/25/99",1,1110921,2,"Crop damage",1000,18,1.79769313486232e+308,1000
19,"5/25/99",1,1110921,7,"Damage to house/land due to cyclone",5000,19,1.79769313486232e+308,5000
20,"5/25/99",1,1110921,8,"Huge expenditure due to illness",10000,18,1.79769313486232e+308,10000
21,"5/25/99",1,1110921,12,"Land related litigation",1200,2,1.79769313486232e+308,1200
22,"5/25/99",1,1111021,12,"Land related litigation",1000,15,1.79769313486232e+308,1000
23,"5/25/99",1,1111022,12,"Land related litigation",4000,2,15,4000
24,"5/25/99",1,1111121,7,"Damage to house/land due to cyclone",200,7,1.79769313486232e+308,200
25,"5/25/99",1,1111121,8,"Huge expenditure due to illness",600,22,1.79769313486232e+308,600
26,"5/25/99",1,1111121,13,"Unnatural death of family member",1.79769313486232e+308,22,1.79769313486232e+308,400
27,"5/25/99",1,1111221,2,"Crop damage",5000,2,1.79769313486232e+308,5000
28,"5/25/99",1,1111221,5,"Death of cow/buffalo",14000,1,1.79769313486232e+308,1.79769313486232e+308
29,"5/25/99",1,1111222,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
64,"7/25/99",1,1120121,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
79,"7/25/99",1,1120141,8,"Huge expenditure due to illness",2000,23,1.79769313486232e+308,2000
80,"7/25/99",1,1120141,24,"Expenditure for daughter's marriage",6000,23,22,6000
81,"7/25/99",1,1120142,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
87,"7/25/99",1,1120151,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
65,"7/25/99",1,1120221,12,"Land related litigation",10000,15,1.79769313486232e+308,10000
82,"7/25/99",1,1120241,12,"Land related litigation",2000,2,1.79769313486232e+308,2000
83,"7/25/99",1,1120241,24,"Expenditure for daughter's marriage",2000,25,1.79769313486232e+308,2000
88,"7/25/99",1,1120251,3,"Burglery/Theft",3000,2,1.79769313486232e+308,3000
89,"7/25/99",1,1120251,8,"Huge expenditure due to illness",3000,25,1.79769313486232e+308,3000
66,"7/25/99",1,1120321,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
84,"7/25/99",1,1120341,12,"Land related litigation",20000,2,1.79769313486232e+308,20000
90,"7/25/99",1,1120351,8,"Huge expenditure due to illness",7000,2,1.79769313486232e+308,7000
91,"7/25/99",1,1120351,20,"Hyjacking",6200,25,1.79769313486232e+308,6200
67,"7/25/99",1,1120421,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
85,"7/25/99",1,1120441,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
92,"7/25/99",1,1120459,3,"Burglery/Theft",2000,2,1.79769313486232e+308,2000
68,"7/25/99",1,1120521,5,"Death of cow/buffalo",9000,1,1.79769313486232e+308,1.79769313486232e+308
69,"7/25/99",1,1120522,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
86,"7/25/99",1,1120541,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
70,"7/25/99",1,1120621,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
71,"7/25/99",1,1120622,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
72,"7/25/99",1,1120721,8,"Huge expenditure due to illness",10000,22,25,10000
73,"7/25/99",1,1120821,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
74,"7/25/99",1,1120921,8,"Huge expenditure due to illness",12000,2,22,12000
75,"7/25/99",1,1121021,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
76,"7/25/99",1,1121121,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
77,"7/25/99",1,1121122,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
78,"7/25/99",1,1121221,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1,"7/07/99",1,1130121,2,"Crop damage",10000,2,1.79769313486232e+308,10000
15,"7/07/99",1,1130141,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
19,"7/07/99",1,1130151,9,"Loss of money",120000,1,1.79769313486232e+308,1.79769313486232e+308
20,"7/07/99",1,1130151,24,"Expenditure for daughter's marriage",30000,2,1.79769313486232e+308,30000
21,"7/07/99",1,1130152,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
22,"7/07/99",1,1130153,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
2,"7/07/99",1,1130221,30,"Others",4000,1,1.79769313486232e+308,1.79769313486232e+308
23,"7/07/99",1,1130251,12,"Land related litigation",2000,15,1.79769313486232e+308,2000
24,"7/07/99",1,1130252,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
3,"7/07/99",1,1130321,30,"Others",2000,1,1.79769313486232e+308,1.79769313486232e+308
16,"7/07/99",1,1130341,12,"Land related litigation",40000,3,22,40000
25,"7/07/99",1,1130351,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
4,"7/07/99",1,1130421,30,"Others",6000,2,1.79769313486232e+308,6000
5,"7/07/99",1,1130422,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
17,"7/07/99",1,1130441,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
26,"7/07/99",1,1130459,5,"Death of cow/buffalo",1500,1,1.79769313486232e+308,1.79769313486232e+308
6,"7/07/99",1,1130521,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
18,"7/07/99",1,1130541,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
7,"7/07/99",1,1130621,2,"Crop damage",10000,1,1.79769313486232e+308,1.79769313486232e+308
8,"7/07/99",1,1130621,12,"Land related litigation",1000,1,1.79769313486232e+308,1000
9,"7/07/99",1,1130721,2,"Crop damage",4000,1,1.79769313486232e+308,1.79769313486232e+308
10,"7/07/99",1,1130821,2,"Crop damage",9000,2,1.79769313486232e+308,9000
11,"7/07/99",1,1130921,2,"Crop damage",10000,1,1.79769313486232e+308,1.79769313486232e+308
12,"7/07/99",1,1131021,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
13,"7/07/99",1,1131121,2,"Crop damage",7000,1,1.79769313486232e+308,1.79769313486232e+308
14,"7/07/99",1,1131221,3,"Burglery/Theft",8000,1,1.79769313486232e+308,1.79769313486232e+308
1,"5/20/99",1,1210121,2,"Crop damage",24000,17,1.79769313486232e+308,4500
2,"5/24/99",1,1210121,16,"Expenditure incurred on court/polic",4000,2,1.79769313486232e+308,4000
22,"5/24/99",1,1210141,24,"Expenditure for daughter's marriage",10000,5,1.79769313486232e+308,5000
23,"5/24/99",1,1210142,30,"Others",5000,6,25,5000
79,"9/11/99",1,1210151,2,"Crop damage",1400,1,1.79769313486232e+308,1.79769313486232e+308
80,"9/11/99",1,1210151,8,"Huge expenditure due to illness",1500,22,1.79769313486232e+308,1500
24,"5/24/99",1,1210241,8,"Huge expenditure due to illness",2000,22,5,1500
25,"5/24/99",1,1210242,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
26,"5/24/99",1,1210243,8,"Huge expenditure due to illness",1300,2,15,1300
33,"5/24/99",1,1210251,8,"Huge expenditure due to illness",5000,4,1.79769313486232e+308,5000
34,"5/24/99",1,1210252,2,"Crop damage",1600,1,1.79769313486232e+308,1.79769313486232e+308
35,"5/24/99",1,1210252,7,"Damage to house/land due to cyclone",2000,2,1.79769313486232e+308,2000
36,"5/24/99",1,1210253,2,"Crop damage",6000,1,1.79769313486232e+308,0
3,"5/24/99",1,1210321,2,"Crop damage",1750,1,1.79769313486232e+308,1.79769313486232e+308
4,"5/24/99",1,1210321,7,"Damage to house/land due to cyclone",2000,5,24,3000
27,"5/24/99",1,1210341,24,"Expenditure for daughter's marriage",25000,5,2,25000
28,"5/24/99",1,1210342,24,"Expenditure for daughter's marriage",15000,22,25,15000
37,"5/24/99",1,1210351,2,"Crop damage",4000,5,1.79769313486232e+308,3000
5,"5/24/99",1,1210421,2,"Crop damage",2000,5,1.79769313486232e+308,2000
6,"5/24/99",1,1210421,7,"Damage to house/land due to cyclone",2000,1,1.79769313486232e+308,0
29,"5/24/99",1,1210441,8,"Huge expenditure due to illness",2000,5,15,2000
30,"5/24/99",1,1210441,13,"Unnatural death of family member",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
85,"9/11/99",1,1210459,2,"Crop damage",3500,5,1.79769313486232e+308,3000
7,"5/24/99",1,1210521,7,"Damage to house/land due to cyclone",1200,1,1.79769313486232e+308,1.79769313486232e+308
8,"5/24/99",1,1210521,8,"Huge expenditure due to illness",10000,3,1.79769313486232e+308,10000
9,"5/24/99",1,1210521,30,"Others",3120,18,1.79769313486232e+308,2500
10,"5/24/99",1,1210522,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
31,"5/24/99",1,1210541,2,"Crop damage",2700,5,1.79769313486232e+308,2000
32,"5/24/99",1,1210541,24,"Expenditure for daughter's marriage",4000,22,23,4000
11,"5/24/99",1,1210621,2,"Crop damage",16000,5,1.79769313486232e+308,10500
12,"5/24/99",1,1210721,2,"Crop damage",10000,1,1.79769313486232e+308,1.79769313486232e+308
13,"5/24/99",1,1210821,2,"Crop damage",20000,1,1.79769313486232e+308,1.79769313486232e+308
14,"5/24/99",1,1210821,3,"Burglery/Theft",2000,1,1.79769313486232e+308,1.79769313486232e+308
15,"5/24/99",1,1210821,7,"Damage to house/land due to cyclone",25000,5,1.79769313486232e+308,15000
16,"5/24/99",1,1210821,9,"Loss of money",65000,1,25,1.79769313486232e+308
17,"5/24/99",1,1210921,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
18,"5/24/99",1,1211021,3,"Burglery/Theft",6000,1,1.79769313486232e+308,1.79769313486232e+308
19,"5/24/99",1,1211121,2,"Crop damage",1200,5,1.79769313486232e+308,1000
20,"5/24/99",1,1211121,30,"Others",5000,5,22,3000
21,"5/24/99",1,1211122,7,"Damage to house/land due to cyclone",500,1,1.79769313486232e+308,1.79769313486232e+308
244,"6/22/99",1,1220141,30,"Others",3600,2,1.79769313486232e+308,2000
253,"6/22/99",1,1220151,2,"Crop damage",30000,2,24,24000
254,"6/22/99",1,1220151,24,"Expenditure for daughter's marriage",9000,3,1.79769313486232e+308,9000
255,"6/22/99",1,1220151,28,"Family feud",1.79769313486232e+308,13,1.79769313486232e+308,1.79769313486232e+308
256,"6/22/99",1,1220152,28,"Family feud",1.79769313486232e+308,13,1.79769313486232e+308,1000
233,"6/22/99",1,1220221,5,"Death of cow/buffalo",100,1,1.79769313486232e+308,1.79769313486232e+308
245,"6/22/99",1,1220241,24,"Expenditure for daughter's marriage",2000,15,1.79769313486232e+308,2000
257,"6/22/99",1,1220251,8,"Huge expenditure due to illness",2500,5,22,2500
258,"6/22/99",1,1220252,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
234,"6/22/99",1,1220321,8,"Huge expenditure due to illness",3000,5,4,6000
246,"6/22/99",1,1220341,2,"Crop damage",5000,4,5,5000
247,"6/22/99",1,1220341,28,"Family feud",1.79769313486232e+308,13,1.79769313486232e+308,1.79769313486232e+308
248,"6/22/99",1,1220342,28,"Family feud",1.79769313486232e+308,13,5,1500
249,"6/22/99",1,1220342,30,"Others",3000,5,1.79769313486232e+308,1500
259,"6/22/99",1,1220351,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
235,"6/22/99",1,1220421,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
250,"6/22/99",1,1220441,2,"Crop damage",3000,1,1.79769313486232e+308,1.79769313486232e+308
260,"6/22/99",1,1220459,2,"Crop damage",12000,4,5,12000
236,"6/22/99",1,1220521,2,"Crop damage",5000,22,24,4000
251,"6/22/99",1,1220541,2,"Crop damage",5000,4,1.79769313486232e+308,3000
252,"6/22/99",1,1220541,24,"Expenditure for daughter's marriage",12000,5,22,10000
237,"6/22/99",1,1220621,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
238,"6/22/99",1,1220721,28,"Family feud",1.79769313486232e+308,13,24,1.79769313486232e+308
239,"6/22/99",1,1220722,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
240,"6/22/99",1,1220821,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
241,"6/22/99",1,1220921,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
242,"6/22/99",1,1221021,8,"Huge expenditure due to illness",8000,2,1.79769313486232e+308,8000
243,"6/22/99",1,1221221,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
346,"7/06/99",1,1230121,28,"Family feud",1.79769313486232e+308,13,1.79769313486232e+308,100
347,"7/06/99",1,1230122,28,"Family feud",1.79769313486232e+308,13,1.79769313486232e+308,1400
359,"7/06/99",1,1230141,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
363,"7/06/99",1,1230151,2,"Crop damage",3000,12,1.79769313486232e+308,3000
348,"7/06/99",1,1230221,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
360,"7/06/99",1,1230241,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
364,"7/06/99",1,1230251,2,"Crop damage",7000,2,19,5000
365,"7/06/99",1,1230251,24,"Expenditure for daughter's marriage",10000,23,2,10000
349,"7/06/99",1,1230321,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
350,"7/06/99",1,1230322,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
361,"7/06/99",1,1230341,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
366,"7/06/99",1,1230351,2,"Crop damage",3000,2,1.79769313486232e+308,3000
367,"7/06/99",1,1230351,28,"Family feud",1.79769313486232e+308,13,1.79769313486232e+308,1.79769313486232e+308
368,"7/06/99",1,1230352,2,"Crop damage",2000,2,1.79769313486232e+308,2000
369,"7/06/99",1,1230352,28,"Family feud",1.79769313486232e+308,13,1.79769313486232e+308,4000
351,"7/06/99",1,1230421,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
362,"7/06/99",1,1230441,30,"Others",1000,5,24,1000
370,"7/06/99",1,1230459,2,"Crop damage",3500,2,1.79769313486232e+308,3500
371,"7/06/99",1,1230459,30,"Others",20000,22,1.79769313486232e+308,5000
352,"7/06/99",1,1230521,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
353,"7/06/99",1,1230621,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
354,"7/06/99",1,1230721,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
355,"7/06/99",1,1231021,2,"Crop damage",5000,4,22,3000
356,"7/06/99",1,1231121,8,"Huge expenditure due to illness",2000,5,1.79769313486232e+308,2000
357,"7/06/99",1,1231121,30,"Others",9000,4,1.79769313486232e+308,9000
358,"7/06/99",1,1231222,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
331,"7/04/99",1,1310141,8,"Huge expenditure due to illness",1200,7,1.79769313486232e+308,1200
335,"7/04/99",1,1310151,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
321,"7/04/99",1,1310221,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
332,"7/04/99",1,1310241,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
336,"7/04/99",1,1310251,2,"Crop damage",20000,24,1.79769313486232e+308,5000
337,"7/04/99",1,1310251,8,"Huge expenditure due to illness",4000,4,1.79769313486232e+308,4000
338,"7/04/99",1,1310251,24,"Expenditure for daughter's marriage",20000,4,24,10000
322,"7/04/99",1,1310321,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
333,"7/04/99",1,1310341,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
339,"7/04/99",1,1310351,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
340,"7/04/99",1,1310352,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
341,"7/04/99",1,1310353,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
323,"7/04/99",1,1310421,2,"Crop damage",5000,5,2,5000
342,"7/04/99",1,1310459,19,"Kidnapping",1.79769313486232e+308,2,11,60000
324,"7/04/99",1,1310521,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
334,"7/04/99",1,1310541,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
325,"7/04/99",1,1310821,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
326,"7/04/99",1,1310921,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
327,"7/04/99",1,1311021,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
328,"7/04/99",1,1311121,16,"Expenditure incurred on court/polic",3000,2,1.79769313486232e+308,3000
329,"7/04/99",1,1311221,8,"Huge expenditure due to illness",7000,1.79769313486232e+308,6,7000
330,"7/04/99",1,1311221,15,"Undue harrassment by police",15000,2,7,15000
140,"7/22/99",1,1320121,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
152,"7/22/99",1,1320141,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
153,"7/22/99",1,1320142,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
159,"7/22/99",1,1320151,8,"Huge expenditure due to illness",1.79769313486232e+308,2,22,1500
160,"7/22/99",1,1320151,30,"Others",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,65000
141,"7/22/99",1,1320221,24,"Expenditure for daughter's marriage",1.79769313486232e+308,2,1.79769313486232e+308,6000
154,"7/22/99",1,1320241,9,"Loss of money",20000,16,1.79769313486232e+308,1.79769313486232e+308
155,"7/22/99",1,1320241,15,"Undue harrassment by police",1.79769313486232e+308,2,14,4000
142,"7/22/99",1,1320321,2,"Crop damage",1200,1,1.79769313486232e+308,1.79769313486232e+308
156,"7/22/99",1,1320341,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
161,"7/22/99",1,1320351,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
