"casenum","date","weight_","hhcode","pid","responid","s13_2q3","s13_2q4","s13_2q5","s13_2q6","s13_2q7","s13_2q8","s13_2q9","s13_2q10"
63,"6/06/99",1,110911,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
64,"6/06/99",1,111011,2,2,2,1.79769313486232e+308,1,1,5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
65,"6/06/99",1,111111,4,4,2,1.79769313486232e+308,1,1,10,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
66,"6/06/99",1,111211,11,2,2,1.79769313486232e+308,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5
67,"6/06/99",1,111211,12,2,2,1.79769313486232e+308,1,1,5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
68,"6/06/99",1,111211,13,2,2,1.79769313486232e+308,1,1,5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
30,"7/23/99",1,120111,2,2,2,1.79769313486232e+308,1,1,8,1988,12,1.79769313486232e+308
45,"7/23/99",1,120141,2,2,2,1.79769313486232e+308,1,1,8,1988,11,1.79769313486232e+308
50,"7/23/99",1,120151,6,6,2,1.79769313486232e+308,1,1,5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
51,"7/23/99",1,120152,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
31,"7/23/99",1,120211,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
32,"7/23/99",1,120212,2,2,2,1.79769313486232e+308,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,5
46,"7/23/99",1,120241,2,2,2,1.79769313486232e+308,1,1,5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
47,"7/23/99",1,120242,2,2,2,1.79769313486232e+308,1,1,5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
52,"7/23/99",1,120251,2,2,2,1.79769313486232e+308,1,1,5,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
53,"7/23/99",1,120351,2,2,2,1.79769313486232e+308,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1
54,"7/23/99",1,120351,7,2,2,1.79769313486232e+308,1,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
